timestamp,right_leg_Accel_X,right_leg_Accel_Y,right_leg_Accel_Z,right_leg_Gyro_X,right_leg_Gyro_Y,right_leg_Gyro_Z,left_leg_Accel_X,left_leg_Accel_Y,left_leg_Accel_Z,left_leg_Gyro_X,left_leg_Gyro_Y,left_leg_Gyro_Z
61.424,7.6854,-0.3017,5.5162,-1.5115,-0.3969,-0.4504,10.3693,-0.3519,0.2729,-3.2366,1.3053,0.2977
151.519,7.6064,-0.3974,5.4636,-1.3359,-0.7786,-0.687,10.2687,-0.3926,0.237,-3.4122,1.1069,0.3893
241.408,7.58,-0.249,5.5905,-1.4275,-0.4656,-0.5344,10.3094,-0.3256,0.2179,-3.3664,1.3359,0.3969
331.97,7.6255,-0.3424,5.6096,-1.5115,-0.6565,-0.5878,10.2807,-0.34,0.1556,-3.3969,1.0611,0.4351
421.479,7.616,-0.2777,5.6288,-1.3435,-0.5267,-0.3893,10.2615,-0.2849,0.2682,-3.2443,1.0992,0.4962
511.748,7.5896,-0.2801,5.5617,-1.5344,-0.687,-0.6565,10.3286,-0.3591,0.2131,-3.4733,1.1908,0.6565
601.322,7.604,-0.3424,5.5665,-1.5191,-0.6107,-0.7328,10.2999,-0.3807,0.2251,-3.2366,1.6489,0.313
749.774,7.6591,-0.2682,5.5641,-1.2519,-0.5344,-0.4046,10.3286,-0.3041,0.1508,-3.458,1.1832,0.2519
840.67,7.5944,-0.3065,5.521,-1.3969,-0.6183,-0.4885,10.24,-0.3424,0.2394,-3.3282,0.7405,0.374
870.674,7.5992,-0.2418,5.5306,-1.2519,-0.6031,-0.5802,10.343,-0.3519,0.1915,-3.2595,1.0534,0.3206
991.622,7.6016,-0.34,5.5138,-1.4122,-0.5496,-0.6412,10.2639,-0.3591,0.2274,-3.1603,1.2748,0.3817
1081.494,7.6112,-0.2825,5.6048,-1.2214,-0.7023,-0.6183,10.2927,-0.34,0.1652,-3.2824,1.2137,0.4427
1171.525,7.5537,-0.328,5.5258,-1.5267,-0.4656,-0.4733,10.3238,-0.3903,0.0862,-3.2901,1.145,0.6107
1261.206,7.6327,-0.2586,5.5593,-1.3969,-0.6336,-0.5115,10.2568,-0.3184,0.2011,-3.1527,1.0229,0.1985
1351.271,7.6471,-0.3567,5.5809,-1.4198,-0.5115,-0.6794,10.3453,-0.3519,0.261,-3.2519,0.8473,0.2366
1440.157,7.6279,-0.3017,5.4779,-1.3969,-0.5115,-0.6107,10.3382,-0.3687,0.1293,-3.3817,1.2214,0.4504
1530.827,7.616,-0.2993,5.5617,-1.3511,-0.6183,-0.4504,10.3286,-0.3112,0.1604,-3.1603,1.084,0.5191
1621.127,7.6279,-0.3472,5.5522,-1.2595,-0.6031,-0.5344,10.3022,-0.3591,0.0886,-3.5038,1.1298,0.2672
1711.283,7.5872,-0.2634,5.5641,-1.4275,-0.6641,-0.4656,10.2352,-0.3448,0.1532,-3.4504,1.0916,0.3282
1800.964,7.6495,-0.3448,5.5258,-1.1908,-0.542,-0.5038,10.3477,-0.3687,0.1963,-3.313,1.1679,0.4733
1890.821,7.6998,-0.2466,5.6024,-1.4962,-0.6107,-0.5038,10.4052,-0.3855,0.1724,-3.3359,0.9313,0.3435
1979.525,7.7045,-0.4094,5.4947,-1.3664,-0.5573,-0.4962,10.2879,-0.3328,0.17,-3.0992,1.0229,0.374
2069.145,7.6351,-0.2442,5.5976,-1.2748,-0.5115,-0.6183,10.2783,-0.3136,0.2298,-3.3893,0.855,0.2672
2157.894,7.6471,-0.4046,5.624,-1.4733,-0.5802,-0.542,10.3022,-0.3472,0.1628,-3.1985,1.4351,0.4122
2279.365,7.6519,-0.2442,5.5067,-1.2824,-0.4427,-0.4656,10.3094,-0.3208,0.1101,-3.2672,1.3664,0.5496
2369.023,7.6184,-0.316,5.4851,-1.4427,-0.6794,-0.5802,10.2927,-0.3352,0.1269,-3.2137,1.2519,0.374
2459.003,7.5872,-0.2897,5.4803,-1.374,-0.542,-0.5878,10.3286,-0.328,0.2203,-3.5115,1.1221,0.3435
2551.506,7.6447,-0.3089,5.4684,-1.4656,-0.5496,-0.4962,10.3118,-0.3926,0.2322,-3.3969,1.0534,0.2519
2645.905,7.6016,-0.3328,5.624,-1.2977,-0.6183,-0.4504,10.2879,-0.3735,0.249,-3.374,1.0763,0.542
2730.278,7.5753,-0.3041,5.5833,-1.3817,-0.6489,-0.3664,10.2783,-0.34,0.2155,-3.2672,1.145,0.4656
2822.596,7.5441,-0.2825,5.533,-1.4656,-0.6412,-0.5267,10.3406,-0.3089,0.1628,-3.084,1.2137,0.4656
2909.883,7.6543,-0.3543,5.5737,-1.3817,-0.6107,-0.4809,10.3358,-0.3831,0.182,-3.3206,1.5725,0.3053
3000.847,7.6088,-0.3304,5.5402,-1.4656,-0.4885,-0.5725,10.2759,-0.3735,0.2035,-3.4427,0.9466,0.4046
