timestamp,right_hand_Accel_X,right_hand_Accel_Y,right_hand_Accel_Z,right_hand_Gyro_X,right_hand_Gyro_Y,right_hand_Gyro_Z,left_hand_Accel_X,left_hand_Accel_Y,left_hand_Accel_Z,left_hand_Gyro_X,left_hand_Gyro_Y,left_hand_Gyro_Z,right_leg_Accel_X,right_leg_Accel_Y,right_leg_Accel_Z,right_leg_Gyro_X,right_leg_Gyro_Y,right_leg_Gyro_Z,left_leg_Accel_X,left_leg_Accel_Y,left_leg_Accel_Z,left_leg_Gyro_X,left_leg_Gyro_Y,left_leg_Gyro_Z
358.262,0.4881,7.9394,6.0634,1.12,-1.4,1.19,0.8662,-9.734,-1.2969,9.1,-0.77,-0.98,0.0144,-0.1341,8.5425,-1.3511,-0.4198,-0.5115,-0.3376,-7.3646,-6.7421,-3.3206,1.1908,0.4275
448.628,0.4929,7.8772,6.0491,-0.07,-1.19,1.12,0.804,-9.6957,-0.8088,-6.86,-2.45,-1.26,0.0694,-0.1101,8.5281,-1.2977,-0.6183,-0.6183,-0.2658,-7.3263,-6.8043,-2.9924,1.1908,0.374
538.388,0.4929,7.9346,6.0921,0.98,-1.33,1.05,0.8471,-9.6431,-1.2012,10.01,-0.98,-0.98,-0.0503,-0.1724,8.5449,-1.4656,-0.7176,-0.3053,-0.3591,-7.3382,-6.6846,-3.4198,0.9847,0.4198
630.337,0.4546,7.858,6.0251,0.28,-1.19,1.05,0.8136,-9.7531,-1.1916,-8.47,-2.24,-1.26,-0.0072,-0.1077,8.5473,-1.2824,-0.5344,-0.6107,-0.3711,-7.3454,-6.7516,-3.2366,1.0992,0.542
720.005,0.5073,7.9537,6.0873,0.84,-1.33,0.84,0.8327,-9.5952,-0.7418,8.82,-0.77,-0.98,0.0527,-0.1101,8.4803,-1.4885,-0.5878,-0.2443,-0.3352,-7.3023,-6.7349,-3.2137,1.229,0.3053
929.867,0.4977,7.9394,6.0682,0.56,-1.26,0.84,0.8375,-9.7723,-1.5984,-4.06,-2.31,-1.19,0.0694,-0.1532,8.4396,-1.374,-0.3588,-0.5496,-0.3807,-7.2832,-6.7756,-3.3206,1.1603,0.4809
1017.863,0.4786,7.8676,6.0443,0.63,-1.19,1.19,0.8231,-9.6,-0.6604,1.68,-1.61,-1.12,-0.0168,-0.0766,8.4491,-1.542,-0.6031,-0.3817,-0.34,-7.3143,-6.6295,-3.3206,0.916,0.3969
1108.147,0.4929,7.9537,6.0682,1.33,-1.33,1.05,0.8662,-9.7723,-1.5745,2.87,-1.4,-1.05,0.0215,-0.1365,8.6072,-1.2137,-0.7252,-0.5725,-0.261,-7.3574,-6.7157,-3.2977,0.9924,0.3893
1198.885,0.4929,7.8772,6.0491,-0.28,-1.19,1.12,0.7992,-9.7101,-0.5647,2.17,-2.24,-1.19,-0.0144,-0.1724,8.4922,-1.2672,-0.5649,-0.1756,-0.3543,-7.3885,-6.6056,-3.3664,0.9695,0.3511
1289.147,0.4594,7.949,6.073,1.05,-1.33,0.98,0.8806,-9.7005,-1.5936,1.12,-1.68,-1.05,0.0862,-0.1269,8.5114,-1.3588,-0.4733,-0.5802,-0.3735,-7.3263,-6.7253,-3.2672,1.0916,0.3893
1378.303,0.5073,7.9059,6.0299,0.21,-1.26,1.26,0.8327,-9.6622,-0.4211,-1.54,-2.03,-1.26,0.0239,-0.158,8.4707,-1.2672,-0.3817,-0.6947,-0.3831,-7.3741,-6.699,-3.2672,1.1908,0.3969
1468.732,0.4738,7.8963,6.0538,0.84,-1.26,1.05,0.871,-9.7484,-1.584,5.88,-1.12,-1.05,0.0096,-0.091,8.4755,-1.2214,-0.7405,-0.4122,-0.3184,-7.276,-6.6583,-3.1298,1.2443,0.5344
1588.612,0.4881,7.9394,6.0634,0.28,-1.19,1.26,0.7944,-9.6718,-0.4738,-7.28,-2.59,-1.19,0.0814,-0.146,8.6503,-1.3817,-0.4962,-0.5649,-0.2682,-7.4196,-6.7564,-3.3817,1.0992,0.4809
1678.543,0.4834,7.9059,6.0347,0.42,-1.26,0.98,0.8662,-9.6861,-1.6271,10.22,-0.56,-0.91,0.0551,-0.1197,8.5688,-1.4962,-0.5725,-0.4504,-0.3065,-7.2975,-6.6894,-3.0305,1.1908,0.3588
1768.724,0.5073,7.9298,6.0826,0.49,-1.12,1.19,0.8231,-9.7484,-0.6843,-8.12,-2.87,-1.26,0.0359,-0.1604,8.576,-1.2061,-0.3588,-0.4962,-0.2849,-7.3622,-6.6918,-3.313,1.2137,0.2901
1859.177,0.4499,7.9298,6.0203,0.7,-1.26,1.12,0.871,-9.6096,-1.1486,9.94,-0.7,-0.91,0.0096,-0.1197,8.5186,-1.3969,-0.6183,-0.3893,-0.3831,-7.3047,-6.6463,-3.2595,1.0458,0.374
1948.808,0.5121,7.9681,6.0586,0.84,-1.26,1.12,0.8327,-9.7101,-1.139,-6.58,-2.59,-1.19,0.0718,-0.1245,8.5497,-1.4504,-0.6183,-0.4733,-0.4357,-7.3406,-6.6128,-3.1832,1.0153,0.2748
2040.276,0.4786,7.8676,5.9916,-0.21,-1.19,0.98,0.8614,-9.6479,-0.8566,9.17,-0.77,-0.98,-0.0455,-0.1532,8.4779,-1.145,-0.6336,-0.4198,-0.3328,-7.3526,-6.7636,-3.229,1.1603,0.4198
2128.1,0.4786,7.9394,6.0682,0.91,-1.26,1.05,0.8518,-9.7388,-1.1055,-6.23,-2.52,-1.26,0.0599,-0.1748,8.5162,-1.4504,-0.5573,-0.6336,-0.3591,-7.3047,-6.7373,-3.4351,1.2137,0.3817
2218.376,0.4786,7.8628,5.9868,0.42,-1.26,1.19,0.8327,-9.6287,-0.7753,4.06,-1.33,-1.05,0.0311,-0.1221,8.497,-1.3893,-0.4656,-0.2901,-0.3903,-7.3071,-6.5673,-3.5191,1.0992,0.2061
2338.717,0.4738,7.9872,6.073,0.77,-1.26,0.98,0.871,-9.7484,-1.5936,-5.6,-1.68,-1.19,0.0168,-0.1365,8.4779,-1.2824,-0.6183,-0.5802,-0.3041,-7.2329,-6.7014,-3.2901,0.9924,0.3893
2428.338,0.4786,7.8724,6.0156,0.14,-1.33,1.26,0.8375,-9.6431,-0.4738,4.62,-1.26,-1.19,-0.0072,-0.146,8.4491,-1.3817,-0.5115,-0.7405,-0.2682,-7.3023,-6.7133,-3.2519,1.2519,0.2824
2518.722,0.4786,7.9537,6.0443,0.98,-1.33,0.98,0.8423,-9.7579,-1.7324,-0.21,-1.82,-0.98,-0.012,-0.1484,8.5329,-1.3893,-0.4504,-0.4504,-0.3448,-7.2688,-6.7014,-3.2061,1.0611,0.4885
2608.714,0.4834,7.8867,6.0491,0.0,-1.05,1.12,0.8136,-9.6718,-0.7083,-0.77,-1.96,-1.19,0.0168,-0.158,8.6119,-1.4733,-0.6794,-0.6641,-0.3807,-7.3334,-6.675,-3.1832,1.2595,0.3817
2698.502,0.4642,7.9298,6.0682,0.98,-1.4,0.91,0.8997,-9.7675,-1.608,4.27,-1.33,-1.12,-0.0048,-0.1197,8.679,-1.3969,-0.626,-0.7863,-0.3089,-7.3717,-6.6559,-3.0763,1.1298,0.3893
2788.588,0.5025,7.9298,6.0538,0.63,-1.19,1.33,0.7753,-9.6479,-0.3015,-17.64,-2.59,-1.33,0.0694,-0.0886,8.5066,-1.3664,-0.5267,-0.5725,-0.34,-7.2856,-6.6152,-3.2748,0.9542,0.4733
2879.913,0.4594,7.9298,6.0443,0.63,-1.26,0.91,0.8662,-9.7053,-1.8185,6.16,-0.49,-0.84,0.0024,-0.1365,8.5066,-1.4809,-0.7557,-0.5267,-0.2993,-7.355,-6.7038,-3.374,1.1145,0.5267
2998.194,0.4834,7.925,6.0443,0.49,-1.26,1.05,0.8088,-9.7101,-0.7753,-4.55,-2.38,-1.26,0.0048,-0.1125,8.5952,-1.3435,-0.4962,-0.3893,-0.3448,-7.3143,-6.6583,-3.3664,0.9466,0.4046
3091.281,0.469,7.9155,6.0395,1.05,-1.33,1.05,0.8614,-9.667,-1.2108,3.5,-1.54,-1.12,0.0335,-0.1628,8.5138,-1.4046,-0.5954,-0.4275,-0.3711,-7.2616,-6.7493,-3.2519,1.0763,0.313
3179.589,0.4834,7.9537,6.0203,0.7,-1.12,1.4,0.804,-9.667,-0.6461,-2.38,-2.17,-1.12,0.0551,-0.17,8.4587,-1.3359,-0.2595,-0.6641,-0.3711,-7.3454,-6.6631,-3.1298,1.1221,0.3053
3268.174,0.4786,7.9107,6.0395,0.14,-1.12,0.98,0.8518,-9.7005,-1.5218,9.1,-0.7,-0.84,0.0263,-0.17,8.4324,-1.3435,-0.6336,-0.626,-0.3184,-7.3287,-6.7804,-3.2672,1.313,0.6183
3358.688,0.4786,7.9442,6.0778,1.05,-1.33,1.12,0.8136,-9.7244,-0.8327,-5.11,-2.38,-1.26,-0.0527,-0.1197,8.5066,-1.3435,-0.8092,-0.4656,-0.316,-7.3574,-6.7229,-3.229,1.0382,0.4656
3448.585,0.4642,7.8867,6.0156,0.07,-1.19,1.19,0.8471,-9.6479,-1.1342,7.35,-1.12,-1.05,0.0407,-0.0982,8.4755,-1.3206,-0.5878,-0.4656,-0.3424,-7.3837,-6.7253,-3.1221,1.0611,0.2977
3538.689,0.5025,7.9537,6.0538,0.7,-1.4,0.98,0.8279,-9.7196,-1.206,-3.64,-2.17,-1.12,0.0,-0.1628,8.497,-1.3359,-0.5649,-0.7405,-0.3615,-7.343,-6.7086,-3.4122,0.4962,-0.1679
3628.621,0.4738,7.8867,6.0251,0.42,-1.05,1.19,0.8518,-9.6479,-0.7418,5.18,-1.26,-1.12,0.0766,-0.1269,8.4779,-1.4504,-0.7176,-0.5954,-0.3615,-7.3023,-6.766,-3.4351,0.6489,-0.1679
3749.307,0.4738,7.9442,6.0538,1.05,-1.47,1.05,0.8662,-9.7244,-1.4022,-1.82,-1.96,-1.12,0.0886,-0.146,8.5234,-1.4427,-0.5573,-0.6565,-0.3304,-7.3741,-6.5673,-3.3282,1.1679,0.4275
3838.561,0.4929,7.8867,6.0395,0.28,-1.26,1.05,0.8279,-9.6814,-0.9571,2.1,-1.61,-1.12,0.0311,-0.1748,8.5258,-1.4504,-0.3893,-0.542,-0.3687,-7.331,-6.7109,-3.2443,1.0534,0.3817
3929.979,0.4929,7.9633,6.0347,0.91,-1.4,0.98,0.8471,-9.7244,-1.2682,-1.19,-1.61,-1.05,0.0622,-0.1437,8.6335,-1.5878,-0.6565,-0.4046,-0.2945,-7.331,-6.7062,-3.3588,1.9466,1.4504
