timestamp,right_hand_Accel_X,right_hand_Accel_Y,right_hand_Accel_Z,right_hand_Gyro_X,right_hand_Gyro_Y,right_hand_Gyro_Z,left_hand_Accel_X,left_hand_Accel_Y,left_hand_Accel_Z,left_hand_Gyro_X,left_hand_Gyro_Y,left_hand_Gyro_Z,right_leg_Accel_X,right_leg_Accel_Y,right_leg_Accel_Z,right_leg_Gyro_X,right_leg_Gyro_Y,right_leg_Gyro_Z,left_leg_Accel_X,left_leg_Accel_Y,left_leg_Accel_Z,left_leg_Gyro_X,left_leg_Gyro_Y,left_leg_Gyro_Z
1079.118,0.4211,9.3847,3.3212,0.91,-1.33,0.98,0.737,-9.5809,-1.7515,1.12,-1.68,-0.91,0.0383,-0.1484,8.5521,-1.2977,-0.5649,-0.374,-5.4444,-0.4453,-7.7907,-3.2977,0.9771,0.5038
1230.284,0.4164,9.3799,3.3021,0.28,-1.26,0.98,0.6987,-9.5904,-1.7563,0.35,-1.68,-1.05,-0.0024,-0.1796,8.5593,-1.5344,-0.5649,-0.5344,-5.4253,-0.4477,-7.8961,-3.4275,1.0,0.5573
1319.482,0.4403,9.3799,3.3117,0.28,-1.19,1.12,0.7418,-9.5952,-1.742,0.35,-1.61,-1.05,0.0263,-0.182,8.5784,-1.2061,-0.3893,-0.5725,-5.4133,-0.5148,-7.9224,-3.3282,1.374,0.3664
1409.151,0.4403,9.399,3.283,0.77,-1.33,0.98,0.7226,-9.5856,-1.718,0.77,-1.75,-1.05,0.0192,-0.146,8.5329,-1.3282,-0.6107,-0.5954,-5.4133,-0.4549,-7.8961,-3.1145,1.0,0.313
1468.418,0.4499,9.3942,3.3212,1.12,-1.4,0.98,0.7513,-9.5856,-1.7468,1.61,-1.96,-0.91,0.0407,-0.1125,8.5665,-1.4275,-0.6641,-0.7252,-5.4372,-0.4142,-7.8626,-3.3664,0.9695,0.4427
1558.23,0.4259,9.4038,3.2877,1.19,-1.4,0.98,0.7418,-9.5904,-1.7468,1.05,-1.82,-0.98,0.0575,-0.1341,8.6503,-1.2901,-0.7328,-0.6107,-5.4205,-0.5243,-7.8626,-3.0916,1.1603,0.313
1647.774,0.4499,9.3942,3.3308,0.28,-1.26,0.91,0.7226,-9.5904,-1.785,0.49,-1.75,-1.05,0.0407,-0.1341,8.6933,-1.3817,-0.4733,-0.6412,-5.3893,-0.4022,-7.8913,-3.1832,1.1908,0.3359
1712.392,0.4307,9.3799,3.283,0.56,-1.33,1.05,0.737,-9.5713,-1.7276,0.56,-1.61,-1.12,-0.0263,-0.1006,8.4779,-1.2824,-0.771,-0.5878,-5.4133,-0.5028,-7.853,-3.145,0.9618,0.1756
1797.945,0.4355,9.399,3.3021,0.56,-1.4,1.05,0.7322,-9.5952,-1.7372,1.12,-1.89,-0.98,-0.0551,-0.1341,8.5617,-1.2824,-0.5191,-0.4427,-5.4109,-0.4621,-7.908,-3.2977,1.0992,0.4427
1888.752,0.4546,9.3894,3.326,0.98,-1.4,1.05,0.737,-9.6,-1.7085,1.05,-1.75,-0.98,-0.0551,-0.1652,8.4851,-1.3206,-0.6031,-0.7405,-5.4205,-0.5219,-7.8314,-3.2977,1.2137,0.3206
