timestamp,right_hand_Accel_X,right_hand_Accel_Y,right_hand_Accel_Z,right_hand_Gyro_X,right_hand_Gyro_Y,right_hand_Gyro_Z,left_hand_Accel_X,left_hand_Accel_Y,left_hand_Accel_Z,left_hand_Gyro_X,left_hand_Gyro_Y,left_hand_Gyro_Z,right_leg_Accel_X,right_leg_Accel_Y,right_leg_Accel_Z,right_leg_Gyro_X,right_leg_Gyro_Y,right_leg_Gyro_Z,left_leg_Accel_X,left_leg_Accel_Y,left_leg_Accel_Z,left_leg_Gyro_X,left_leg_Gyro_Y,left_leg_Gyro_Z
266.408,0.5599,9.4373,3.2255,0.21,-1.26,1.47,0.7609,-9.5378,-1.9334,0.63,-1.82,-0.98,-0.0335,-0.1772,8.4946,-1.374,-0.6107,-0.5954,-9.3063,-0.103,-0.4357,-3.3664,1.0,0.542
358.517,0.5121,9.466,3.2351,0.56,-1.54,1.19,0.7705,-9.5426,-1.8664,0.63,-1.54,-1.19,-0.0455,-0.158,8.5497,-1.1908,-0.4885,-0.5802,-9.323,-0.091,-0.3687,-3.2901,1.2672,0.4275
418.954,0.4929,9.4612,3.2447,1.26,-1.47,0.84,0.7705,-9.5474,-1.9621,0.49,-1.54,-1.19,-0.0168,-0.1173,8.5688,-1.3817,-0.4809,-0.5038,-9.3134,-0.1125,-0.3615,-3.313,1.0916,0.4733
508.073,0.5456,9.4134,3.2351,0.84,-1.4,0.91,0.7753,-9.5091,-1.943,-0.63,-1.82,-1.12,0.0431,-0.0814,8.667,-1.2748,-0.7863,-0.5725,-9.2273,-0.1293,-0.3711,-3.1908,1.3511,0.4962
597.908,0.5312,9.3847,3.216,0.42,-1.33,0.98,0.7609,-9.5426,-1.9669,0.7,-1.61,-1.05,0.0,-0.1317,8.5736,-1.5344,-0.6412,-0.6183,-9.2392,-0.1341,-0.4621,-3.4427,1.1298,0.4351
656.429,0.5168,9.4086,3.216,0.14,-1.12,1.19,0.7657,-9.5378,-2.1153,1.89,-1.47,-0.91,-0.0096,-0.1437,8.5497,-1.1908,-0.9237,-0.4504,-9.2536,-0.1484,-0.4334,-3.2366,1.4427,0.4962
746.901,0.5168,9.4373,3.2112,0.35,-1.26,1.12,0.7753,-9.5139,-1.986,-0.7,-1.96,-0.98,0.0192,-0.1149,8.6263,-1.3282,-0.5573,-0.5496,-9.2416,-0.0718,-0.3304,-3.458,1.1908,0.3053
836.765,0.5025,9.4708,3.2447,1.12,-1.47,0.98,0.7657,-9.5234,-1.9286,1.05,-1.82,-0.91,0.0551,-0.1077,8.5569,-1.4046,-0.3969,-0.4809,-9.2009,-0.1006,-0.498,-3.0229,1.084,0.4275
896.587,0.536,9.3033,3.2016,1.61,-1.33,0.07,0.7705,-9.5378,-2.0291,2.1,-1.4,-1.05,0.0527,-0.1293,8.4515,-1.4962,-0.5802,-0.542,-9.2727,-0.1197,-0.5602,-3.3435,1.145,0.4351
986.62,0.5168,9.3559,3.259,1.33,-1.26,0.7,0.7705,-9.533,-1.9908,0.77,-1.75,-1.05,-0.0048,-0.1173,8.5305,-1.2214,-0.5496,-0.5038,-9.2847,-0.1413,-0.4477,-3.2901,1.2061,0.5344
1047.733,0.5312,9.4181,3.2495,1.75,-1.47,0.7,0.7418,-9.6,-1.8473,-0.42,-1.89,-1.12,-0.0335,-0.1293,8.5688,-1.1756,-0.6336,-0.4427,-9.2249,-0.1628,-0.51,-3.3969,1.1069,0.4656
1138.324,0.5168,9.4516,3.2925,4.69,-1.82,-0.14,0.7322,-9.5378,-1.9621,-1.26,-1.75,-1.19,-0.0192,-0.1891,8.5521,-1.3893,-0.6336,-0.5344,-9.2799,-0.182,-0.5794,-3.0534,1.3206,0.374
1227.862,0.5073,9.4277,3.283,2.87,-1.54,0.07,0.7896,-9.5282,-2.0148,-1.05,-1.89,-1.05,0.067,-0.1532,8.4874,-1.313,-0.626,-0.4198,-9.2488,-0.0862,-0.4812,-3.374,1.3282,0.4351
1288.135,0.5168,9.3894,3.2686,2.1,-1.47,0.7,0.7657,-9.5282,-1.919,-0.42,-1.75,-0.91,0.0192,-0.2011,8.5258,-1.3206,-0.4504,-0.6565,-9.2967,-0.1484,-0.34,-3.1985,1.0458,0.458
