timestamp,right_hand_Accel_X,right_hand_Accel_Y,right_hand_Accel_Z,right_hand_Gyro_X,right_hand_Gyro_Y,right_hand_Gyro_Z,left_hand_Accel_X,left_hand_Accel_Y,left_hand_Accel_Z,left_hand_Gyro_X,left_hand_Gyro_Y,left_hand_Gyro_Z,MPU_Accel_X,MPU_Accel_Y,MPU_Accel_Z,MPU_Gyro_X,MPU_Gyro_Y,MPU_Gyro_Z
210.361,-0.2871,9.4134,-3.1394,0.42,-1.19,1.26,0.1723,7.882,-5.7619,0.98,-1.54,-1.12,-0.0599,-0.1532,8.5066,-1.2748,-0.5496,-0.4885
300.299,-0.2393,9.4325,-3.1394,0.42,-1.19,1.05,0.1819,7.8628,-5.7236,1.12,-1.61,-1.12,-0.0168,-0.1389,8.5018,-1.3435,-0.5038,-0.313
360.414,-0.2393,9.4325,-3.1202,0.14,-1.05,1.05,0.1819,7.8867,-5.738,1.19,-1.68,-1.05,-0.067,-0.1341,8.5401,-1.3893,-0.5191,-0.5573
450.532,-0.2393,9.4469,-3.125,0.28,-1.26,0.98,0.1771,7.8772,-5.738,1.05,-1.68,-1.05,-0.0383,-0.1077,8.5545,-1.2519,-0.6412,-0.542
540.707,-0.2584,9.4277,-3.1825,0.63,-1.33,1.05,0.1771,7.8628,-5.7332,0.98,-1.75,-1.19,-0.1221,-0.0742,8.5425,-1.5191,-0.2595,-0.7939
600.633,-0.2728,9.4469,-3.1537,0.49,-1.19,1.05,0.201,7.882,-5.738,0.98,-1.68,-1.19,-0.0359,-0.079,8.4898,-1.4351,-0.5267,-0.4046
691.973,-0.2584,9.4373,-3.1537,0.49,-1.12,1.12,0.1675,7.8772,-5.7428,0.98,-1.61,-1.12,-0.079,-0.0479,8.4587,-1.4351,-0.5344,-0.6794
749.325,-0.2536,9.4277,-3.1346,0.7,-1.19,1.12,0.1723,7.8724,-5.7045,1.05,-1.75,-1.19,0.0072,-0.0862,8.5449,-1.4046,-0.4885,-0.5725
840.665,-0.2489,9.4134,-3.1537,0.35,-1.26,1.05,0.201,7.8772,-5.7332,1.05,-1.68,-1.12,-0.0599,-0.1173,8.4851,-1.3282,-0.5191,-0.5496
930.107,-0.2584,9.4373,-3.1394,0.21,-1.19,1.05,0.1962,7.882,-5.7284,0.98,-1.54,-1.12,-0.0814,-0.1197,8.5569,-1.4962,-0.7176,-0.5573
991.496,-0.2584,9.4086,-3.149,0.63,-1.19,1.05,0.1723,7.8867,-5.7141,1.05,-1.61,-1.12,-0.0958,-0.146,8.4779,-1.3359,-0.5191,-0.687
1081.764,-0.2489,9.4277,-3.1394,0.49,-1.26,1.26,0.1962,7.8772,-5.7428,1.05,-1.61,-1.12,-0.0431,-0.0742,8.4348,-1.4046,-0.4733,-0.4122
1170.649,-0.2536,9.4373,-3.125,0.7,-1.26,1.05,0.1914,7.8676,-5.7141,1.05,-1.75,-1.12,-0.0934,-0.0934,8.5305,-1.4122,-0.7786,-0.5878
